name,dates,base,base_primary,country,region,type,anno,anno_refit,service,length_ft,cabins,berths,wc,price_eur,original_price_eur,discount,deposit_eur,yacht_id
Lagoon 40 (Mare Calma),13.06.2026 - 20.06.2026,"Pula / Tehnomont Marina Veruda, Croazia","Pula / Tehnomont Marina Veruda, Croazia",Croatia,Istria / Kvarner,Catamarano,2019,,Bareboat,39.0,4,8,4,3910.0,4600.0,"- 15,00 %",3000.0,24840901378600220
Altair Zafir 42 (Running on Waves),13.06.2026 - 20.06.2026,"Pula / Marina Polesana, Croazia","Pula / Marina Polesana, Croazia",Croatia,Istria / Kvarner,Barca a motore,2008,,Con equipaggio,45.0,3,6,2,4067.0,4900.0,"- 17,00 %",2500.0,5134689900000106557
Lucia 40 (Go Earth 1),13.06.2026 - 20.06.2026,"Pula / Marina Polesana, Croazia","Pula / Marina Polesana, Croazia",Croatia,Istria / Kvarner,Catamarano,2018,,Bareboat,38.0,4,10 8+2,4,4399.0,6110.0,"- 28,00 %",4000.0,10820791238504731
Nautitech 40 Open (Lollo III),13.06.2026 - 20.06.2026,"Krk / Punat / Marina Punat, Croazia","Krk / Punat / Marina Punat, Croazia",Croatia,Istria / Kvarner,Catamarano,2018,,Bareboat,39.0,6,10 (8+2),2,4457.0,5865.0,"- 24,00 %",3500.0,7378932510000104027
Nautitech 40 Open (ORION),13.06.2026 - 20.06.2026,"Pula / Marina Polesana, Croazia","Pula / Marina Polesana, Croazia",Croatia,Istria / Kvarner,Catamarano,2019,,Bareboat,40.0,6,10 8+1+1,2,4543.0,6310.0,"- 28,00 %",2650.0,5257036190000104731
Lagoon 450 (Bevanda),13.06.2026 - 20.06.2026,"Medulin / Marina Medulin, Croazia","Medulin / Marina Medulin, Croazia",Croatia,Istria / Kvarner,Catamarano,2013,,Bareboat,46.0,6,12 (8+2+1+1),4,4853.0,6740.0,"- 28,00 %",2500.0,386213120000101058
Gran Turismo 36 (Speed2),13.06.2026 - 20.06.2026,"Pula / Tehnomont Marina Veruda, Croazia","Pula / Tehnomont Marina Veruda, Croazia",Croatia,Istria / Kvarner,Barca a motore,2024,,Bareboat,42.0,2,4,1,4860.0,5400.0,"- 10,00 %",3000.0,5947841120000102622
Prestige 36 Fly (Fortuna),13.06.2026 - 20.06.2026,"Krk / Punat / Marina Punat, Croazia","Krk / Punat / Marina Punat, Croazia",Croatia,Istria / Kvarner,Barca a motore,2009,,Bareboat,38.0,2,4,1,4900.0,,,3000.0,6376169160000107179
Bali 4.2 (La Luna 77),13.06.2026 - 20.06.2026,"Pula / Tehnomont Marina Veruda, Croazia","Pula / Tehnomont Marina Veruda, Croazia",Croatia,Istria / Kvarner,Catamarano,2023,,Bareboat,42.0,4,8,4,5185.0,6100.0,"- 15,00 %",3000.0,19355300456900220
Gobbi 425 (Lady Veronika),13.06.2026 - 20.06.2026,"Krk / Punat / Marina Punat, Croazia","Krk / Punat / Marina Punat, Croazia",Croatia,Istria / Kvarner,Barca a motore,2005,2023,Bareboat,44.0,2,4 +1,2,5400.0,,,3000.0,5999885960000107179
